customerID,genero,idoso,conjuge,dependentes,tempo_permanecido,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_ti,streaming_tv,streaming_movies,tempo_contratual,cobranca_digital,metodo_pagamento,cobranca_mensal,total_cobranca,churn
7590-VHVEG,Mulher,0,Sim,Não,1,Não,Sem serviço telefônico,Sem Fibra Óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Eletrônica,29.85,29.85,Não
5575-GNVDE,Homem,0,Não,Não,34,Sim,Não,Sem Fibra Óptica,Sim,Não,Sim,Não,Não,Não,Um ano,Não,Cobrança Correio,56.95,1889.5,Não
3668-QPYBK,Homem,0,Não,Não,2,Sim,Não,Sem Fibra Óptica,Sim,Sim,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Correio,53.85,108.15,Sim
7795-CFOCW,Homem,0,Não,Não,45,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Não,Sim,Sim,Não,Não,Um ano,Não,Transferência Bancária,42.3,1840.75,Não
9237-HQITU,Mulher,0,Não,Não,2,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Eletrônica,70.7,151.65,Sim
9305-CDSKC,Mulher,0,Não,Não,8,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,99.65,820.5,Sim
1452-KIOVK,Homem,0,Não,Sim,22,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Cartão de Crédito,89.1,1949.4,Não
6713-OKOMC,Mulher,0,Não,Não,10,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Cobrança Correio,29.75,301.9,Não
7892-POOKP,Mulher,0,Sim,Não,28,Sim,Sim,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,104.8,3046.05,Sim
6388-TABGU,Homem,0,Não,Sim,62,Sim,Não,Sem Fibra Óptica,Não,Sim,Não,Não,Não,Não,Um ano,Não,Transferência Bancária,56.15,3487.95,Não
9763-GRSKD,Homem,0,Sim,Sim,13,Sim,Não,Sem Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Correio,49.95,587.45,Não
7469-LKBCI,Homem,0,Não,Não,16,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Não,Cartão de Crédito,18.95,326.8,Não
8091-TTVAX,Homem,0,Sim,Não,58,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Um ano,Não,Cartão de Crédito,100.35,5681.1,Não
0280-XJGEX,Homem,0,Não,Não,49,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Transferência Bancária,103.7,5036.3,Sim
5129-JLPIS,Homem,0,Não,Não,25,Sim,Não,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,105.5,2686.05,Não
3655-SNQYZ,Mulher,0,Sim,Sim,69,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Cartão de Crédito,113.25,7895.15,Não
8191-XWSZG,Mulher,0,Não,Não,52,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Um ano,Não,Cobrança Correio,20.65,1022.95,Não
9959-WOFKT,Homem,0,Não,Sim,71,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Não,Sim,Sim,Dois anos,Não,Transferência Bancária,106.7,7382.25,Não
4190-MFLUW,Mulher,0,Sim,Sim,10,Sim,Não,Sem Fibra Óptica,Não,Não,Sim,Sim,Não,Não,Mês a mês,Não,Cartão de Crédito,55.2,528.35,Sim
4183-MYFRB,Mulher,0,Não,Não,21,Sim,Não,Fibra Óptica,Não,Sim,Sim,Não,Não,Sim,Mês a mês,Sim,Cobrança Eletrônica,90.05,1862.9,Não
8779-QRDMV,Homem,1,Não,Não,1,Não,Sem serviço telefônico,Sem Fibra Óptica,Não,Não,Sim,Não,Não,Sim,Mês a mês,Sim,Cobrança Eletrônica,39.65,39.65,Sim
1680-VDCWW,Homem,0,Sim,Não,12,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Um ano,Não,Transferência Bancária,19.8,202.25,Não
1066-JKSGK,Homem,0,Não,Não,1,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Cobrança Correio,20.15,20.15,Sim
3638-WEABW,Mulher,0,Sim,Não,58,Sim,Sim,Sem Fibra Óptica,Não,Sim,Não,Sim,Não,Não,Dois anos,Sim,Cartão de Crédito,59.9,3505.1,Não
6322-HRPFA,Homem,0,Sim,Sim,49,Sim,Não,Sem Fibra Óptica,Sim,Sim,Não,Sim,Não,Não,Mês a mês,Não,Cartão de Crédito,59.6,2970.3,Não
6865-JZNKO,Mulher,0,Não,Não,30,Sim,Não,Sem Fibra Óptica,Sim,Sim,Não,Não,Não,Não,Mês a mês,Sim,Transferência Bancária,55.3,1530.6,Não
6467-CHFZW,Homem,0,Sim,Sim,47,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,99.35,4749.15,Sim
8665-UTDHZ,Homem,0,Sim,Sim,1,Não,Sem serviço telefônico,Sem Fibra Óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Não,Cobrança Eletrônica,30.2,30.2,Sim
5248-YGIJN,Homem,0,Sim,Não,72,Sim,Sim,Sem Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Cartão de Crédito,90.25,6369.45,Não
8773-HHUOZ,Mulher,0,Não,Sim,17,Sim,Não,Sem Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cobrança Correio,64.7,1093.1,Sim
3841-NFECX,Mulher,1,Sim,Não,71,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Não,Não,Dois anos,Sim,Cartão de Crédito,96.35,6766.95,Não
4929-XIHVW,Homem,1,Sim,Não,2,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,95.5,181.65,Não
6827-IEAUQ,Mulher,0,Sim,Sim,27,Sim,Não,Sem Fibra Óptica,Sim,Sim,Sim,Sim,Não,Não,Um ano,Não,Cobrança Correio,66.15,1874.45,Não
7310-EGVHZ,Homem,0,Não,Não,1,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Transferência Bancária,20.2,20.2,Não
3413-BMNZE,Homem,1,Não,Não,1,Sim,Não,Sem Fibra Óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Transferência Bancária,45.25,45.25,Não
6234-RAAPL,Mulher,0,Sim,Sim,72,Sim,Sim,Fibra Óptica,Sim,Sim,Não,Sim,Sim,Não,Dois anos,Não,Transferência Bancária,99.9,7251.7,Não
6047-YHPVI,Homem,0,Não,Não,5,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Eletrônica,69.7,316.9,Sim
6572-ADKRS,Mulher,0,Não,Não,46,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Sim,Cartão de Crédito,74.8,3548.3,Não
5380-WJKOV,Homem,0,Não,Não,34,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,106.35,3549.25,Sim
8168-UQWWF,Mulher,0,Não,Não,11,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Transferência Bancária,97.85,1105.4,Sim
8865-TNMNX,Homem,0,Sim,Sim,10,Sim,Não,Sem Fibra Óptica,Não,Sim,Não,Não,Não,Não,Um ano,Não,Cobrança Correio,49.55,475.7,Não
9489-DEDVP,Mulher,0,Sim,Sim,70,Sim,Sim,Sem Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Dois anos,Sim,Cartão de Crédito,69.2,4872.35,Não
9867-JCZSP,Mulher,0,Sim,Sim,17,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Um ano,Não,Cobrança Correio,20.75,418.25,Não
4671-VJLCL,Mulher,0,Não,Não,63,Sim,Sim,Sem Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Não,Dois anos,Sim,Cartão de Crédito,79.85,4861.45,Não
4080-IIARD,Mulher,0,Sim,Não,13,Sim,Sim,Sem Fibra Óptica,Sim,Sim,Não,Sim,Sim,Não,Mês a mês,Sim,Cobrança Eletrônica,76.2,981.45,Não
3714-NTNFO,Mulher,0,Não,Não,49,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Cobrança Eletrônica,84.5,3906.7,Não
5948-UJZLF,Homem,0,Não,Não,2,Sim,Não,Sem Fibra Óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Não,Cobrança Correio,49.25,97,Não
7760-OYPDY,Mulher,0,Não,Não,2,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Cobrança Eletrônica,80.65,144.15,Sim
7639-LIAYI,Homem,0,Não,Não,52,Sim,Sim,Sem Fibra Óptica,Sim,Não,Não,Sim,Sim,Sim,Dois anos,Sim,Cartão de Crédito,79.75,4217.8,Não
